Date,Open,High,Low,Close,Adj Close,Volume
2015-06-03,70.0,77.55,70.0,74.1,74.1,87538109
2015-06-04,70.2,71.45,69.0,70.05,70.05,89068164
2015-06-05,67.25,68.35,66.1,67.75,67.75,72931827
2015-06-08,68.5,68.6,66.1,66.2,66.2,22580707
2015-06-09,65.0,65.05,63.45,63.85,63.85,36029631
2015-06-10,64.45,67.0,63.85,65.6,65.6,18198514
2015-06-11,65.6,68.2,65.5,68.05,68.05,22215613
2015-06-12,68.2,68.7,67.5,67.8,67.8,16817690
2015-06-15,67.0,67.5,65.8,65.95,65.95,12294969
2015-06-16,65.1,65.15,64.6,64.9,64.9,11456786
2015-06-17,64.7,66.0,64.55,65.75,65.75,11816101
2015-06-18,66.0,66.45,65.55,66.15,66.15,8906034
2015-06-19,67.0,67.15,65.0,66.5,66.5,18575814
2015-06-22,65.15,65.9,64.8,65.0,65.0,15718522
2015-06-23,64.8,66.2,64.8,66.0,66.0,20806034
2015-06-24,65.65,66.1,65.4,65.5,65.5,8422942
2015-06-25,65.05,65.45,64.7,64.75,64.75,8778155
2015-06-26,64.55,65.0,63.8,63.85,63.85,13585200
2015-06-29,63.85,64.5,63.0,63.2,63.2,11415061
2015-06-30,63.95,65.05,63.75,64.3,64.3,9643743
2015-07-02,65.05,65.5,64.15,64.85,64.85,13765405
2015-07-03,64.9,65.0,63.8,64.05,64.05,10370760
2015-07-06,62.6,63.8,61.25,62.85,62.85,12841953
2015-07-07,61.7,62.8,61.5,62.15,62.15,16046865
2015-07-08,60.0,60.0,55.95,57.95,57.95,27352914
2015-07-09,56.75,61.9,56.75,60.7,60.7,24263706
2015-07-10,60.5,61.6,60.0,61.05,61.05,16416725
2015-07-13,60.5,63.1,60.25,63.05,63.05,7707997
2015-07-14,63.9,65.3,63.1,65.1,65.1,12609342
2015-07-15,65.45,66.5,65.2,66.35,66.35,10932862
2015-07-16,66.5,66.8,65.4,66.7,66.7,6768144
2015-07-17,67.0,67.5,66.1,67.35,67.35,15601224
2015-07-20,67.75,67.75,66.2,66.85,66.85,3616482
2015-07-21,66.5,67.05,65.35,65.6,65.6,5463148
2015-07-22,65.25,66.5,65.2,65.6,65.6,7299283
2015-07-23,66.0,66.15,64.7,64.85,64.85,6508918
2015-07-24,64.65,65.05,63.9,64.0,64.0,8420031
